candidate,round,predicted_cycles,time_ms,schedule
3,10,1.12646e+07,0.051389,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,11,1.12646e+07,0.05183,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,12,1.12646e+07,0.125866,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,13,1.12646e+07,0.171143,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,14,1.12646e+07,0.110437,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,15,1.12646e+07,0.116423,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,16,1.12646e+07,0.116338,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,17,1.12646e+07,0.109942,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,18,1.12646e+07,0.116945,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
3,19,1.12646e+07,0.112873,"order=ikj;outer=64,128,32;tile=16,64,16;micro=4,16;vector=8;unroll=4;threads=8;pack=;prefetch=0;fuse=true;pin=false"
4,0,1.12646e+07,0.058047,"order=ikj;outer=64,128,32;tile=16,64,16;micro=6,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
4,1,1.12646e+07,0.05669,"order=ikj;outer=64,128,32;tile=16,64,16;micro=6,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
4,2,1.12646e+07,0.134826,"order=ikj;outer=64,128,32;tile=16,64,16;micro=6,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
4,3,1.12646e+07,0.05588,"order=ikj;outer=64,128,32;tile=16,64,16;micro=6,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
4,4,1.12646e+07,0.078249,"order=ikj;outer=64,128,32;tile=16,64,16;micro=6,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
4,5,1.12646e+07,0.13417,"order=ikj;outer=64,128,32;tile=16,64,16;micro=6,16;vector=8;unroll=1;threads=8;pack=;prefetch=0;fuse=true;pin=false"
