sequence,heads,kv_heads,head_dim,strategy,qtile,kvtile,temporary_bytes,bytes_read,bytes_written,arithmetic_intensity,qk_tiles,skipped_causal_tiles,score_evaluations,exp_evaluations,reduction_operations,l2_traffic,llc_traffic,l2_hit_rate,llc_hit_rate
1024,12,12,64,auto-io-aware,32,32,100352,9.43718e+06,3.14573e+06,128.125,6336,5952,6.2976e+06,6.69082e+06,1.25952e+07,2.07618e+08,1.25829e+07,0.939394,0
2048,12,12,64,materialized,32,32,402653184,4.21528e+08,4.08945e+08,7.76136,24960,24192,2.51781e+07,2.6751e+07,5.03562e+07,1.23313e+09,8.30472e+08,0.326531,0
2048,12,12,64,tiled-materialized,32,64,402653184,4.21528e+08,4.08945e+08,7.76136,12672,11904,2.51781e+07,2.59645e+07,5.03562e+07,1.23313e+09,8.30472e+08,0.326531,0
2048,12,12,64,io-aware,32,64,133120,1.88744e+07,6.29146e+06,256.125,12672,11904,2.51781e+07,2.59645e+07,5.03562e+07,8.17889e+08,2.51658e+07,0.969231,0
2048,12,12,64,auto-io-aware,32,32,100352,1.88744e+07,6.29146e+06,256.125,24960,24192,2.51781e+07,2.6751e+07,5.03562e+07,8.17889e+08,2.51658e+07,0.969231,0
4096,12,12,64,materialized,32,32,1610612736,1.64836e+09,1.6232e+09,7.87885,99072,97536,1.00688e+08,1.06979e+08,2.01376e+08,4.88217e+09,3.27156e+09,0.329897,0
4096,12,12,64,tiled-materialized,32,64,1610612736,1.64836e+09,1.6232e+09,7.87885,49920,48384,1.00688e+08,1.03834e+08,2.01376e+08,4.88217e+09,3.27156e+09,0.329897,0
4096,12,12,64,io-aware,32,64,133120,3.77487e+07,1.25829e+07,512.125,49920,48384,1.00688e+08,1.03834e+08,2.01376e+08,3.24639e+09,5.03316e+07,0.984496,0
4096,12,12,64,auto-io-aware,32,32,100352,3.77487e+07,1.25829e+07,512.125,99072,97536,1.00688e+08,1.06979e+08,2.01376e+08,3.24639e+09,5.03316e+07,0.984496,0
128,12,12,128,materialized,16,32,1572864,3.93216e+06,2.3593e+06,8.0625,240,144,99072,105216,198144,7.86432e+06,6.29146e+06,0.2,0
128,12,12,128,tiled-materialized,32,64,1572864,3.93216e+06,2.3593e+06,8.0625,72,24,99072,102144,198144,7.86432e+06,6.29146e+06,0.2,0
128,12,12,128,io-aware,32,64,198656,2.3593e+06,786432,16.125,72,24,99072,102144,198144,7.86432e+06,3.14573e+06,0.6,0
128,12,12,128,auto-io-aware,16,32,82944,2.3593e+06,786432,16.125,240,144,99072,105216,198144,1.41558e+07,3.14573e+06,0.777778,0
256,12,12,128,materialized,16,32,6291456,1.101e+07,7.86432e+06,10.7083,864,672,394752,419328,789504,2.51658e+07,1.88744e+07,0.25,0
256,12,12,128,tiled-materialized,32,64,6291456,1.101e+07,7.86432e+06,10.7083,240,144,394752,407040,789504,2.51658e+07,1.88744e+07,0.25,0
256,12,12,128,io-aware,32,64,198656,4.71859e+06,1.57286e+06,32.125,240,144,394752,407040,789504,2.83116e+07,6.29146e+06,0.777778,0
256,12,12,128,auto-io-aware,16,32,82944,4.71859e+06,1.57286e+06,32.125,864,672,394752,419328,789504,5.34774e+07,6.29146e+06,0.882353,0
512,12,12,128,materialized,16,32,25165824,3.4603e+07,2.83116e+07,12.825,3264,2880,1.57594e+06,1.67424e+06,3.15187e+06,8.80804e+07,6.29146e+07,0.285714,0
512,12,12,128,tiled-materialized,32,64,25165824,3.4603e+07,2.83116e+07,12.825,864,672,1.57594e+06,1.62509e+06,3.15187e+06,8.80804e+07,6.29146e+07,0.285714,0
512,12,12,128,io-aware,32,64,198656,9.43718e+06,3.14573e+06,64.125,864,672,1.57594e+06,1.62509e+06,3.15187e+06,1.06955e+08,1.25829e+07,0.882353,0
512,12,12,128,auto-io-aware,16,32,82944,9.43718e+06,3.14573e+06,64.125,3264,2880,1.57594e+06,1.67424e+06,3.15187e+06,2.07618e+08,1.25829e+07,0.939394,0
1024,12,12,128,materialized,16,32,100663296,1.19538e+08,1.06955e+08,14.2361,12672,11904,6.2976e+06,6.69082e+06,1.25952e+07,3.27156e+08,2.26492e+08,0.307692,0
1024,12,12,128,tiled-materialized,32,64,100663296,1.19538e+08,1.06955e+08,14.2361,3264,2880,6.2976e+06,6.49421e+06,1.25952e+07,3.27156e+08,2.26492e+08,0.307692,0
1024,12,12,128,io-aware,32,64,198656,1.88744e+07,6.29146e+06,128.125,3264,2880,6.2976e+06,6.49421e+06,1.25952e+07,4.15236e+08,2.51658e+07,0.939394,0
1024,12,12,128,auto-io-aware,16,32,82944,1.88744e+07,6.29146e+06,128.125,12672,11904,6.2976e+06,6.69082e+06,1.25952e+07,8.17889e+08,2.51658e+07,0.969231,0
2048,12,12,128,materialized,16,32,402653184,4.40402e+08,4.15236e+08,15.0662,49920,48384,2.51781e+07,2.6751e+07,5.03562e+07,1.25829e+09,8.55638e+08,0.32,0
2048,12,12,128,tiled-materialized,32,64,402653184,4.40402e+08,4.15236e+08,15.0662,12672,11904,2.51781e+07,2.59645e+07,5.03562e+07,1.25829e+09,8.55638e+08,0.32,0
2048,12,12,128,io-aware,32,64,198656,3.77487e+07,1.25829e+07,256.125,12672,11904,2.51781e+07,2.59645e+07,5.03562e+07,1.63578e+09,5.03316e+07,0.969231,0
2048,12,12,128,auto-io-aware,16,32,82944,3.77487e+07,1.25829e+07,256.125,49920,48384,2.51781e+07,2.6751e+07,5.03562e+07,3.24639e+09,5.03316e+07,0.984496,0
4096,12,12,128,materialized,16,32,1610612736,1.68611e+09,1.63578e+09,15.5189,198144,195072,1.00688e+08,1.06979e+08,2.01376e+08,4.9325e+09,3.32189e+09,0.326531,0
4096,12,12,128,tiled-materialized,32,64,1610612736,1.68611e+09,1.63578e+09,15.5189,49920,48384,1.00688e+08,1.03834e+08,2.01376e+08,4.9325e+09,3.32189e+09,0.326531,0
4096,12,12,128,io-aware,32,64,198656,6.46762e+09,2.51658e+07,7.93992,49920,48384,1.00688e+08,1.03834e+08,2.01376e+08,6.49278e+09,6.49278e+09,0,0
4096,12,12,128,auto-io-aware,16,32,82944,1.29101e+10,2.51658e+07,3.98541,198144,195072,1.00688e+08,1.06979e+08,2.01376e+08,1.29352e+10,1.29352e+10,0,0
